,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,code_additions_deletions_4_weeks,commit_count_4_weeks,last_4_weeks_commit_activity_series
71,211,891,116,299,222,1733,41,"{'additions': 418, 'deletions': -288}",53,"[0, 0, 2, 0, 0, 0, 0, 1, 1, 3, 2, 1, 2, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
72,20,97,17,185,140,115,11,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,19,92,11,1177,1020,675,15,"{'additions': 13936, 'deletions': -5785}",296,"[0, 21, 27, 7, 10, 0, 1, 0, 0, 13, 6, 3, 19, 0, 2, 6, 3, 4, 8, 15, 0, 0, 6, 1, 2, 0, 0, 0]"
74,76,128,25,12,7,14,7,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,247,561,84,430,406,1735,55,"{'additions': 149, 'deletions': -249}",31,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0]"
76,216,1885,181,313,287,108,20,"{'additions': 50, 'deletions': -12}",10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
77,21,168,30,396,378,8,5,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
79,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
80,316,564,145,246,240,104,28,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
